#rango de variables usado
#p_cruce_val = [0.4, 0.5, 0.6, 0.7]
#p_mutacion_val = [ 0.7, 0.8, 0.9, 1]
#tamano_poblacion_val = [6, 8, 10, 12]
#n_elementos_p_inicial_val = [3, 4, 5, 6, 7, 8]

{'p_cruce': 0.5, 'p_mutacion': 0.9, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 4, 'tiempo': 6.445640802383423}
{'p_cruce': 0.5, 'p_mutacion': 0.9, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 5, 'tiempo': 8.403690338134766}
{'p_cruce': 0.5, 'p_mutacion': 0.9, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 6, 'tiempo': 5.871405124664307}
{'p_cruce': 0.5, 'p_mutacion': 0.9, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 7, 'tiempo': 5.6991095542907715}
{'p_cruce': 0.5, 'p_mutacion': 0.9, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 8, 'tiempo': 6.547056436538696}
{'p_cruce': 0.5, 'p_mutacion': 0.9, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 3, 'tiempo': 5.45100736618042}
{'p_cruce': 0.5, 'p_mutacion': 0.9, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 4, 'tiempo': 6.404023170471191}
{'p_cruce': 0.5, 'p_mutacion': 0.9, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 5, 'tiempo': 6.733829498291016}
{'p_cruce': 0.5, 'p_mutacion': 0.9, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 6, 'tiempo': 6.673856258392334}
{'p_cruce': 0.5, 'p_mutacion': 0.9, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 7, 'tiempo': 5.751486301422119}
{'p_cruce': 0.5, 'p_mutacion': 0.9, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 8, 'tiempo': 8.651505947113037}
{'p_cruce': 0.5, 'p_mutacion': 0.9, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 3, 'tiempo': 6.0437421798706055}
{'p_cruce': 0.5, 'p_mutacion': 0.9, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 4, 'tiempo': 6.5824360847473145}
{'p_cruce': 0.5, 'p_mutacion': 0.9, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 5, 'tiempo': 8.653534412384033}
{'p_cruce': 0.5, 'p_mutacion': 0.9, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 6, 'tiempo': 9.104132890701294}
{'p_cruce': 0.5, 'p_mutacion': 0.9, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 7, 'tiempo': 6.6959452629089355}
{'p_cruce': 0.5, 'p_mutacion': 0.9, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 8, 'tiempo': 5.420038461685181}
{'p_cruce': 0.5, 'p_mutacion': 1, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 3, 'tiempo': 5.857028961181641}
{'p_cruce': 0.5, 'p_mutacion': 1, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 4, 'tiempo': 5.770431756973267}
{'p_cruce': 0.5, 'p_mutacion': 1, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 5, 'tiempo': 5.571853876113892}
{'p_cruce': 0.5, 'p_mutacion': 1, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 6, 'tiempo': 7.806307554244995}
{'p_cruce': 0.5, 'p_mutacion': 1, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 7, 'tiempo': 5.852770090103149}
{'p_cruce': 0.5, 'p_mutacion': 1, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 8, 'tiempo': 7.736706256866455}
{'p_cruce': 0.5, 'p_mutacion': 1, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 3, 'tiempo': 5.584582090377808}
